ID,Species,Source,Sex,Site,Lat,Lon,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
83,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2.2,41,68,28.5,16.5,8,13,NA,NA,NA,NA,101,13.075,NA,0.955,129.03
84,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2.1,39.5,45,29,16,8.5,12,NA,NA,NA,NA,57,17.5,NA,1.045,90.54
85,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.3,35.5,15,23.5,15,7,11,NA,NA,NA,NA,93,1.56,NA,0.4525,50.43
87,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2,38.5,25,28.5,15.5,8,12,NA,NA,NA,NA,144,3.33,NA,0.56,122.8
90,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.9,38.5,68,28,16,7.5,12,NA,NA,NA,NA,40,7.41,NA,0.905,117.85
91,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.7,37,53,26,16,7,12,NA,NA,NA,NA,122,4.32,NA,0.6,100.36
93,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.6,38,26,25,15.5,7,11,NA,NA,NA,NA,69,5.405,NA,0.655,75.12
94,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.2,35,64,22,13.5,6.5,10.5,NA,NA,NA,NA,90,1.43,NA,0.4625,39.2
96,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.25,34,53.5,23,14,7,11,NA,NA,NA,NA,78,0.93,NA,0.3975,62.35
97,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2,40,17,28,16.5,8,12.5,NA,NA,NA,NA,109,4.695,NA,0.6875,190.03
98,merianae,hunted.longcautivity,female,A,NA,NA,11/2/2008,NA,1.5,37,63,24,15,7,11,NA,NA,NA,NA,96,1.815,NA,0.5125,96.48
100,merianae,hunted.longcautivity,female,A,NA,NA,11/2/2008,NA,1.2,35,21,22,13.5,7,10.5,NA,NA,NA,NA,102,1.78,NA,0.4725,68.3
101,merianae,hunted.longcautivity,female,A,NA,NA,11/2/2008,NA,1.35,38,14,24,14.5,7.5,11,NA,NA,NA,NA,61,0.91,NA,0.425,48.79
102,merianae,hunted.longcautivity,female,A,NA,NA,11/2/2008,NA,1.15,34,55,21.5,14,6,9.5,NA,NA,NA,NA,122,1.46,NA,0.36,55.27
104,merianae,hunted.longcautivity,female,A,NA,NA,11/2/2008,NA,0.8,31,57,18.5,12,5.5,9,NA,NA,NA,NA,38,0.46,NA,0.29,13.16
105,merianae,hunted.longcautivity,female,A,NA,NA,11/2/2008,NA,1,34,41,19,13,6,10,NA,NA,NA,NA,79,2.78,NA,0.6075,18.15
106,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2.35,41,20,28.5,16.5,8.5,12,NA,NA,NA,NA,39,46.42,NA,1.615,161.97
108,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.65,36,60,26,15,7,11,NA,NA,NA,NA,161,9.9,NA,0.875,86.89
110,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.3,34,57.5,22,14,6.5,11,NA,NA,NA,NA,132,3.71,NA,0.61,61.59
112,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2.6,41,62,31.5,16,8,12,NA,NA,NA,NA,43,194.39,NA,2.765,53.39
114,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.3,33,53,24,14,7,11,NA,NA,NA,NA,92,0.5,NA,0.32,17.81
116,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2.65,41.5,23,31,18,8.5,13.5,NA,NA,NA,NA,48,41.28,NA,1.5325,132.04
117,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2,38,63,27,15.5,7.5,12,NA,NA,NA,NA,121,3.17,NA,0.52,124.34
119,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.7,37,65,25,14.5,7,11,NA,NA,NA,NA,118,6.42,NA,0.705,84.77
120,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.75,39.5,21,24.5,15.5,7.5,11.5,NA,NA,NA,NA,147,4.935,NA,0.57,105.76
122,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2,40,65.5,26,16,7.5,12,NA,NA,NA,NA,188,3.04,NA,0.4175,65.93
123,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.7,37,26,25,15,7,11,NA,NA,NA,NA,185,11.07,NA,0.9075,100.23
124,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.9,38.5,64.5,29.5,15,7,12,NA,NA,NA,NA,160,8.55,NA,0.7225,103.02
