"UF.Animal.ID","Status","Capture.Date","Capture.Location","Trap.Name","Capture.Notes","UTM.Easting","UTM.Northing","Specimen.Condition","Intake.SVL","Intake.TL","Intake.Weight.kg","Measurements","Intake.Sex","Age.Class","General.Notes","Euth.Date","Final.Disposition","Nec.SVL","Nec.TL","Nec.Weight.kg","Fat.Wt..g.","Malformations","Extremities","Extremities.Notes","Reproductive.Sys","Nec.Sex","Additional.Notes","Date.Diff","Analysis.Sex","SVL_Diff","Weight_Diff"
"TuMe1124","UF trap line",2015-06-18,"HH8",157,NA,551862,2806546,"Live",24.4,65.2,0.395,"Dead","Male",NA,NA,2015-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1128","UF trap line",2015-06-19,"HH7",156,NA,552313,2806546,"Live",21.9,62,0.3,"Dead","Male",NA,NA,2015-06-19,NA,21.1,60.2,0.31,1.447,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.799999999999997,-0.01
"TuMe1129","UF trap line",2015-06-19,"P2",164,NA,551992,2806291,"Live",30.8,88.1,0.94,"Dead","Male",NA,NA,2015-06-19,NA,30.4,87.2,1,5.26,NA,"Abnormal","missing 3rd and 4th digits on right rear leg","Normal","Male","pentax 176-0438 to 0440 of spleen",0,"Male",0.400000000000002,-0.0600000000000001
"TuMe1131","transferred",2015-06-18,"S109",213,NA,547878,2808973,"Live",27.5,79.5,0.852,"Alive","Male",NA,NA,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Male",NA,NA
"TuMe1132","transferred",2015-06-18,"S121",225,NA,551014,2800992,"Live",25,62,0.518,"Alive","Female",NA,NA,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1134","transferred",2015-06-18,"S103",207,NA,547774,2808787,"Live",28.5,81,0.76,"Alive","Female",NA,NA,2015-06-19,"Sent to Sterling Nesbitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1135","transferred",2015-06-17,"S103",207,NA,547774,2808787,"Live",26.5,75.5,0.776,"Alive","Female",NA,NA,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Female",NA,NA
"TuMe1136","transferred",2015-06-18,"S119",223,NA,550197,2806527,"Live",26.5,74.5,0.594,"Alive","Male",NA,NA,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Male",NA,NA
"TuMe1141","transferred",2015-06-16,"S102",206,NA,548118,2809513,"Live",28,80,0.75,"Alive","Male",NA,NA,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Male",NA,NA
"TuMe1142","transferred",2015-06-19,"FWC 1028",NA,NA,554799,2810019,"Live",28.6,80.9,0.9,"Alive","Female",NA,NA,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1144","transferred",2015-06-21,"S105",209,NA,547729,2807158,"Live",25,69,0.43,"Alive","Female",NA,NA,2015-06-22,"Sent to Sterling Nesbitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1147","UF trap line",2015-06-23,"HH1",133,NA,553958,2806544,"Live",24.4,67.9,0.38,"Dead","Male",NA,NA,2015-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1149","UF trap line",2015-06-23,"HH8",157,NA,551862,2806546,"Live",20.4,55.1,0.23,"Dead","Male",NA,NA,2015-06-23,NA,20.2,55,0.23,3.989,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.199999999999999,0
"TuMe1150","UF trap line",2015-06-23,"HF51",132,NA,550973,2806831,"Live",24,67.9,0.39,"Dead","Male",NA,NA,2015-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1151","UF trap line",2015-06-23,"Trap1",34,NA,553953,2806578,"Live",28,76.1,0.52,"Dead","Female",NA,NA,2015-06-23,NA,27.6,74.3,0.52,0.531,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.399999999999999,0
"TuMe1153","UF trap line",2015-06-24,"HH1",133,NA,553958,2806544,"Live",26.3,70.9,0.48,"Dead","Male",NA,NA,2015-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1154","UF trap line",2015-06-24,"P1",163,NA,552001,2806452,"Live",25.2,70.5,0.46,"Dead","Female",NA,NA,2015-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1155","UF trap line",2015-06-24,"HH9",158,NA,551570,2806529,"Live",25.9,72.6,0.52,"Dead","Male",NA,NA,2015-06-24,NA,24.6,71.2,0.51,2.938,NA,"Normal",NA,"Normal","Male",NA,0,"Male",1.3,0.01
"TuMe1156","UF trap line",2015-06-24,"HH10",134,NA,551242,2806525,"Live",24,67.8,0.39,"Dead","Male",NA,NA,2015-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1158","UF trap line",2015-06-24,"HH51",154,NA,550970,2806999,"Live",25.9,72.5,0.51,"Dead","Male",NA,NA,2015-06-24,NA,25.6,70.4,0.5,0.641,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.299999999999997,0.01
"TuMe1161","UF trap line",2015-06-25,"Trap1",34,NA,553953,2806578,"Live",27.3,73,0.58,"Dead","Male",NA,NA,2015-06-25,NA,26.8,72.5,0.6,2.252,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.5,-0.02
"TuMe1162","UF trap line",2015-06-25,"HH7",156,NA,552313,2806546,"Live",27.1,75.5,0.5,"Alive","Male",NA,NA,2015-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1163","UF trap line",2015-06-25,"JD2",160,NA,552278,2806410,"Live",24.1,66.4,0.38,"Dead","Female",NA,NA,2015-06-25,NA,23.5,66.5,0.4,1.621,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.600000000000001,-0.02
"TuMe1164","UF trap line",2015-06-25,"HH50",152,NA,550969,2807329,"Live",24.3,65.8,0.42,"Dead","Female",NA,NA,2015-06-25,NA,24.2,64.6,0.41,2.363,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.100000000000001,0.01
"TuMe1167","UF trap line",2015-06-26,"HH3",149,NA,553418,2806537,"Live",26.7,76.5,0.58,"Dead","Male",NA,NA,2015-06-26,NA,27.5,77.2,0.58,6.393,NA,"Normal",NA,"Normal","Female",NA,0,"Female",-0.800000000000001,0
"TuMe1168","UF trap line",2015-06-26,"HH5",151,NA,552797,2806551,"Live",22.5,56,0.3,"Dead","Male",NA,NA,2015-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1169","UF trap line",2015-06-26,"HH6",155,NA,552577,2806532,"Live",26.1,69.4,0.5,"Dead","Male",NA,NA,2015-06-26,NA,26,68.5,0.495,0.775,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.100000000000001,0.005
