OID_,UF_Animal_ID,Status,Capture_Date,Capture_Location,Trap_Name,Capture_Notes,UTM_Easting,UTM_Northing,Specimen_Condition,Intake_SVL,Intake_TL,Intake_Weight_kg,Measurements,Intake_Sex,Age_Class,General_Notes,Euth_Date,Final_Disposition,Nec_SVL,Nec_TL,Nec_Weight_kg,fat_g,Malformations,Extremities,Extremities_Notes,Reproductive_Sys,Nec_Sex,GI_Wt,Additional_Notes,Date_Diff,Analysis_Sex,SVL_Diff,Weight_Diff,mass_g,fulton,year,month_numb,day,month,percfat,sizeclass,NEAR_FID,C110111_DIST,C110424_DIST,JDC_DIST,Pond_DIST,UP_DIST,WCS_DIST,Hab1,Hab2
1848,TuMe1763,captured;UF trap line,7/12/2016,HH40,362,NA,551006,2807588,Live,34.8,91.6,1.68,Dead,Female,NA,NA,7/12/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,1680,3.986314413,2016,7,12,Jul,NA,Group4,1,8705.10132,1057.030274,1761.650363,1540.519393,3150.901141,5954.09145,4,4
1322,TuMe1766,captured;UF trap line,7/13/2016,L1,408,NA,553943,2806596,Live,27.6,76.4,0.64,Dead,Male,NA,NA,7/14/2016,NA,27.8,76.1,0.64,4.634,NA,Normal,NA,Normal,Male,16.885,NA,1,Male,0.2,0,640,3.044056632,2016,7,13,Jul,0.7240625,Group4,1,8268.301518,2945.71723,1757.76136,1992.741077,51.19570294,5749.31822,4,4
636,TuMe1769,captured;UF trap line,7/13/2016,MC4,373,NA,553130,2806566,Live,23.9,60.4,0.4,Dead,Female,NA,Tail regen: 6.8 cm,7/14/2016,NA,23.9,60.5,0.4,1.614,tail regen = 6.8 cm,Normal,NA,Normal,Female,22.663,NA,1,Female,0,0,400,2.929991014,2016,7,13,Jul,0.4035,Group3,1,7982.483636,2132.28727,957.1290404,1182.71721,863.2091288,5356.949225,5,5
637,TuMe1770,captured;UF trap line,7/13/2016,B1,352,NA,551812,2806613,Live,27.9,48,0.76,Dead,Male,NA,Dropped tail in bag. Measured separately. Dropped portion 28.7 cm,7/14/2016,NA,27.4,75.7,0.76,11.503,"Tail is separate in bag, 29.0cm",Normal,NA,Normal,Male,49.832,NA,1,Male,0.5,0,760,3.499459587,2016,7,13,Jul,1.513552632,Group4,1,7776.374734,818.1197956,505.0990002,277.1082821,2181.179727,5038.647636,4,4
1849,TuMe1771,captured;UF trap line,7/13/2016,HH41,364,NA,551009,2807234,Live,23.4,66.2,0.43,Dead,Male,NA,NA,7/14/2016,NA,24.2,67,0.42,2.632,NA,Normal,NA,Normal,Male,20.429,NA,1,Male,0.8,0.01,430,3.355991741,2016,7,13,Jul,0.612093023,Group3,1,8351.121242,703.0860545,1520.205578,1279.658157,3053.761124,5600.080357,5,5
1323,TuMe1773,captured;UF trap line,7/14/2016,TH1,299,NA,553958,2806570,Live,19.8,55.3,0.19,Dead,Male,NA,NA,7/15/2016,NA,19.7,55.2,0.18,0.76,weight without GI tract = 0.17 kg. Very little fat reserve.,Normal,NA,Normal,Male,7.966,NA,1,Male,0.1,0.01,190,2.447699111,2016,7,14,Jul,0.4,Group2,1,8249.485135,2960.256915,1768.425288,2005.022693,38.07886553,5734.514539,4,4
1324,TuMe1774,captured;UF trap line,7/14/2016,L5,412,NA,553934,2806581,Live,21.8,61,0.33,Dead,Male,NA,NA,7/15/2016,NA,21.7,61.9,0.31,2.462,NA,Normal,NA,Normal,Male,18.525,NA,1,Male,0.1,0.02,330,3.185256855,2016,7,14,Jul,0.746060606,Group2,1,8251.06684,2936.425718,1746.429787,1982.217193,59.13543777,5731.82641,4,4
1850,TuMe1775,captured;UF trap line,7/14/2016,HH41,364,NA,551009,2807234,Live,32.3,77.1,1.06,Dead,Female,NA,Tail regen: 25.1cm,7/15/2016,NA,32.5,77.3,1.02,35.75,Tail regen 25cm,Normal,Tail regen 25cm,Normal,Female,54.365,NA,1,Female,0.2,0.04,1060,3.145562352,2016,7,14,Jul,3.372641509,Group4,1,8351.121242,703.0860545,1520.205578,1279.658157,3053.761124,5600.080357,5,5
638,TuMe1777,captured;UF trap line,7/15/2016,JD2,358,NA,552278,2806410,Live,23.6,64.7,0.39,Dead,Male,NA,NA,7/15/2016,NA,23.2,63.4,0.38,0.677,NA,Normal,NA,Normal,Male,45.708,NA,0,Male,0.4,0.01,390,2.967075504,2016,7,15,Jul,0.173589744,Group3,1,7640.832743,1285.706421,127.6244491,317.4208563,1723.90545,4934.095358,12,15
639,TuMe1778,captured;UF trap line,7/15/2016,P1,353,NA,552001,2806455,Live,33.1,89.9,1.31,Dead,Male,NA,NA,7/15/2016,NA,33.4,90.1,1.3,36.56,NA,Normal,NA,Normal,Male,94.988,NA,0,Male,0.3,0.01,1310,3.612329139,2016,7,15,Jul,2.790839695,Group4,1,7642.6797,1005.875241,259.0173739,84.53401682,1996.237461,4916.043633,4,4
1851,TuMe1779,captured;UF trap line,7/15/2016,HH42,366,NA,551005,2806922,Live,23.3,65.3,0.43,Dead,Female,NA,NA,7/15/2016,NA,23.3,64.4,0.42,1.399,NA,Normal,NA,Normal,Male,48.768,NA,0,Male,0,0.01,430,3.399387652,2016,7,15,Jul,0.325348837,Group3,1,8039.104552,391.0626548,1355.147593,1099.824077,3006.94413,5288.109303,5,5
1325,TuMe1782,captured;UF trap line,7/19/2016,TH1,299,NA,553958,2806570,Live,22.4,63.1,0.34,Dead,Male,NA,NA,7/20/2016,NA,22.5,62.1,0.35,2.29,NA,Normal,NA,Normal,Male,32.069,NA,1,Male,0.1,0.01,340,3.025066053,2016,7,19,Jul,0.673529412,Group2,1,8249.485135,2960.256915,1768.425288,2005.022693,38.07886553,5734.514539,4,4
1326,TuMe1783,captured;UF trap line,7/19/2016,HH2,287,NA,553773,2806566,Live,21.5,59,0.28,Dead,Female,NA,NA,7/20/2016,NA,20.6,57.9,0.28,1.329,NA,Normal,NA,Normal,Female,28.475,NA,1,Female,0.9,0,280,2.817361993,2016,7,19,Jul,0.474642857,Group2,1,8180.401579,2775.220712,1585.138795,1820.526572,220.8189303,5639.093899,4,4
1327,TuMe1784,captured;UF trap line,7/19/2016,HH3,288,NA,553421,2806540,Live,24.6,67.9,0.48,Dead,Female,NA,NA,7/20/2016,NA,24.2,66.6,0.47,5.712,NA,Normal,NA,Normal,Female,49.323,NA,1,Female,0.4,0.01,480,3.22430351,2016,7,19,Jul,1.19,Group3,1,8041.548234,2423.016715,1234.16571,1467.746913,573.7673745,5453.692327,4,4
640,TuMe1785,captured;UF trap line,7/19/2016,JD3,361,NA,552325,2806410,Live,17.8,50.6,0.16,Dead,Female,NA,NA,7/20/2016,NA,17.1,49,0.15,0.1,none,Normal,NA,Not Examined,Female,4.92,NA,1,Female,0.7,0.01,160,2.83700418,2016,7,19,Jul,0.0625,Group2,1,7649.055497,1332.505159,157.7624797,364.2375598,1677.155032,4946.106752,12,15
245,TuMe1786,captured;UF trap line,7/19/2016,HH21,333,NA,551017,2805509,Live,23.8,66,0.46,Dead,Female,NA,NA,7/20/2016,NA,24,66.5,0.47,1.943,NA,Normal,NA,Normal,Female,33.376,NA,1,Female,0.2,0.01,460,3.412140932,2016,7,19,Jul,0.422391304,Group3,1,6626.211965,1022.176599,1432.514572,1285.171584,3164.546097,3875.062451,5,5
641,TuMe1788,captured;UF trap line,7/21/2016,MC4,373,NA,553130,2806556,Live,22.7,51,0.39,Dead,Male,NA,Tail Regen: 19.3 cm,7/21/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,390,3.334164595,2016,7,21,Jul,NA,Group3,1,7972.859274,2132.146571,954.4191951,1181.185845,863.4871163,5347.743917,5,5
642,TuMe1789,captured;UF trap line,7/21/2016,P1,353,NA,552001,2806455,Live,24.9,68.6,0.49,Dead,Male,NA,NA,7/21/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,490,3.173935075,2016,7,21,Jul,NA,Group3,1,7642.6797,1005.875241,259.0173739,84.53401682,1996.237461,4916.043633,4,4
246,TuMe1790,captured;UF trap line,7/21/2016,TH12,302,NA,550864,2806527,Live,25.5,71.5,0.47,Dead,Female,NA,NA,7/21/2016,NA,25.1,70,0.47,2.497,NA,Normal,Right rear leg collected.,Normal,Female,32.23,NA,0,Female,0.4,0,470,2.834505582,2016,7,21,Jul,0.531276596,Group3,1,7644.65408,134.0596882,1364.676152,1107.796461,3129.537506,4896.128471,5,6
643,TuMe1794,captured;UF trap line,7/27/2016,TH4,322,NA,553188,2806558,Live,27.6,74.4,0.7,Dead,Female,NA,NA,7/27/2016,NA,28,77.4,0.69,10.071,NA,Normal,NA,Normal,Female,40.084,NA,0,Female,0.4,0.01,700,3.329436941,2016,7,27,Jul,1.438714286,Group4,1,7990.732194,2190.166432,1010.950048,1238.854309,805.4526678,5372.520544,5,5
644,TuMe1800,captured;UF trap line,7/29/2016,JD4,360,NA,552318,2806240,Live,25.5,70.6,0.5,Dead,Female,NA,NA,7/29/2016,NA,24.9,70.1,0.46,2.944,NA,Normal,NA,Normal,Female,13.112,NA,0,Female,0.6,0.04,500,3.015431471,2016,7,29,Jul,0.5888,Group3,1,7480.559137,1351.695602,124.5311206,382.5388869,1710.160811,4780.280013,12,15
645,TuMe1803,captured;UF trap line,8/2/2016,PTH2,357,NA,551990,2806299,Live,16,46.5,0.12,Dead,Female,NA,NA,8/2/2016,Disposed at South Dade Landfill,16.2,46.2,0.11,0.254,NA,Normal,NA,Normal,Male,8.962,Specimen sexed incorrectly at intake.,0,Male,0.2,0.01,120,2.9296875,2016,8,2,Aug,0.211666667,Group1,1,7486.636895,1018.767883,220.0204536,85.70297544,2023.315349,4760.948015,4,4
646,TuMe1804,captured;UF trap line,8/2/2016,TH10,300,NA,551649,2806539,Live,14.3,40.3,0.095,Alive,Male,NA,larger of two hatchlings,,transferred to USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,95,3.248744018,2016,8,2,Aug,NA,Group1,1,7686.583181,651.0491533,609.0073891,351.0697936,2344.451322,4942.785146,4,4
247,TuMe1805,captured;UF trap line,8/2/2016,HH19,331,NA,551008,2806486,Live,23.4,64.5,0.49,Dead,Male,NA,NA,8/2/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,490,3.824269658,2016,8,2,Aug,NA,Group3,1,7603.127317,46.09772229,1216.001645,959.8708246,2986.641257,4852.09903,4,4
248,TuMe1806,captured;UF trap line,8/2/2016,TH20,311,NA,551014,2805945,Live,29.7,82.9,0.93,Dead,Female,NA,NA,8/2/2016,NA,29.5,82.6,0.91,46.113,NA,Normal,NA,Normal,Female,71.614,NA,0,Female,0.2,0.02,930,3.549879413,2016,8,2,Aug,4.958387097,Group4,1,7062.177001,586.2183893,1248.144623,1043.03835,3046.972432,4311.072488,4,4
1328,TuMe1808,captured;UF trap line,8/3/2016,L2,409,NA,553939,2806569,Live,22.5,62.5,0.38,Dead,Male,NA,"23 Oct 2017: This tegu was sexed wrong at intake. It is a male, it has visible external buttons and testes & vas deferens that are visble internally. Weight at necropsy is 0.345kg, weight discrepancy is likely due to the tegu being weighed in zip loc bag",8/3/2016,Disposed at South Dade Landfill,22.5,62.6,0.345,0.657,NA,Normal,NA,Normal,Male,28.418,"This tegu was sexed incorrectly as female at intake; weight at intake higher, this may be due to weighing of tegu in ziploc bag wihtout bag weight being accounted for.",0,Male,0,0.035,380,3.336076818,2016,8,3,Aug,0.172894737,Group3,1,8241.675861,2941.245484,1749.494213,1986.013595,56.32051136,5724.00428,4,4
647,TuMe1811,captured;UF trap line,8/3/2016,PTH2,357,NA,551990,2806299,Live,28.2,82,0.74,Dead,Female,NA,NA,8/3/2016,NA,28.4,82.1,0.73,19.221,NA,Normal,NA,Normal,Female,NA,NA,0,Female,0.2,0.01,740,3.299775508,2016,8,3,Aug,2.597432432,Group4,1,7486.636895,1018.767883,220.0204536,85.70297544,2023.315349,4760.948015,4,4
1852,TuMe1813,captured;UF trap line,8/3/2016,TH40,363,NA,551007,2807600,Live,22.5,49.1,0.45,Dead,Male,NA,No tail at capture,8/3/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,450,3.950617284,2016,8,3,Aug,NA,Group3,1,8717.106056,1069.037885,1769.749417,1549.330501,3153.794698,5966.085819,4,4
1853,TuMe1814,captured;UF trap line,8/3/2016,TH41,365,NA,551007,2807244,Live,33.5,82.3,1.21,Dead,Male,NA,Tail regen: 22.2 cm,8/3/2016,Disposed at South Dade Landfill,32.8,80.7,1.19,17.751,Chest cavity already cut open by unknown person prior to necropsy Pic 100-1180-100-1181; Regen tail = 22.3 cm,Normal,NA,Normal,Female,128.195,NA,0,Female,0.7,0.02,1210,3.218480997,2016,8,3,Aug,1.467024793,Group4,1,8361.110572,713.0568,1527.930954,1287.835781,3057.854967,5610.091265,5,5
1329,TuMe1818,captured;UF trap line,8/8/2016,L1,408,"Monday catch- trap not closed completely on Friday, 5 Aug 2016",553941,2806568,Live,24.2,67.9,0.45,Dead,Male,NA,NA,8/8/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,450,3.175165857,2016,8,8,Aug,NA,Group3,1,8241.465525,2943.232577,1751.318646,1987.909706,54.70831747,5724.155833,4,4
1330,TuMe1823,captured;UF trap line,8/10/2016,TH2,310,NA,553731,2806566,Live,24.5,67,0.525,Dead,Female,NA,NA,8/10/2016,Disposed at South Dade Landfill,24.4,66.6,0.5,12.884,NA,Normal,NA,Normal,Female,34.479,NA,0,Female,0.1,0.025,525,3.569941096,2016,8,10,Aug,2.454095238,Group3,1,8166.074822,2733.224104,1543.741235,1778.751528,262.6880279,5618.851128,4,4
648,TuMe1824,captured;UF trap line,8/10/2016,PTH2,357,NA,551990,2806299,Live,17.3,50.3,0.2,Dead,Male,NA,NA,8/10/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,200,3.862706285,2016,8,10,Aug,NA,Group2,1,7486.636895,1018.767883,220.0204536,85.70297544,2023.315349,4760.948015,4,4
249,TuMe1825,captured;UF trap line,8/10/2016,HH15,283,NA,549484,2806515,Live,25.9,73,0.5,Dead,Female,NA,NA,8/10/2016,Disposed at South Dade Landfill,25.1,72,0.49,2.599,NA,Normal,NA,Normal,Female,36.371,NA,0,Female,0.8,0.01,500,2.877866953,2016,8,10,Aug,0.5198,Group3,1,7774.176741,1514.084542,2734.308871,2481.674636,4509.543325,5122.712758,4,4
649,TuMe1826,captured;UF trap line,8/11/2016,THC,422,NA,553260,2806559,Live,14.8,39.5,0.0875,Alive,Female,NA,Hatchling,8/12/2016,NA,14,39.6,0.087,0.151,"only one fat pad was able to be located (left side missing fat pad); some organs (reproductive, spleen, pancreas) were not able to be located- this could be due to absence, or due tp decay from digestive enzymes leaked into the body cavity",Normal,NA,Not Examined,NA,NA,weight without GI = 0.079kg,1,Female,0.8,5.00E-04,87.5,2.699124435,2016,8,11,Aug,0.172571429,Group1,1,8012.027958,2262.173291,1080.99445,1310.28432,733.4609737,5402.635098,5,5
650,TuMe1827,captured;UF trap line,8/11/2016,TH6,327,NA,552615,2806531,Live,14.3,39.4,0.0807,Alive,Female,NA,NA,8/12/2016,Disposed at South Dade Landfill,13.5,39.4,0.08,2.418,NA,Normal,NA,Normal,Female,4.163,NA,1,Female,0.8,0.0007,80.7,2.75972255,2016,8,11,Aug,2.996282528,Group1,1,7824.174397,1617,465.2590676,670.2313034,1379.057649,5144.354673,4,4
651,TuMe1828,captured;UF trap line,8/11/2016,B1,352,NA,551812,2806613,Live,30.1,85.9,1,Dead,Female,NA,NA,8/11/2016,Disposed at South Dade Landfill,30.6,86,0.97,37.246,NA,Normal,NA,Abnormal,Female,83.712,NA,0,Female,0.5,0.03,1000,3.666912215,2016,8,11,Aug,3.7246,Group4,1,7776.374734,818.1197956,505.0990002,277.1082821,2181.179727,5038.647636,4,4
1331,TuMe1829,captured;UF trap line,8/12/2016,HH1,298,NA,553958,2806546,Live,24,65.6,0.5,Dead,Female,NA,NA,8/12/2016,Disposed at South Dade Landfill,24,65.4,0.465,9.344,NA,Normal,NA,Normal,Female,50.594,NA,0,Female,0,0.035,500,3.616898148,2016,8,12,Aug,1.8688,Group3,1,8227.126169,2960.038007,1764.947591,2002.890911,52.40229003,5713.869529,4,4
1332,TuMe1830,captured;UF trap line,8/12/2016,L3,410,NA,553939,2806569,Live,15.2,43.4,0.12,Dead,Unknown,NA,NA,8/12/2016,NA,15.3,44,0.11,0.784,"tail fell off post-mortem, TL is calculated by adding on end of tail measurement = 8.6 cm",Normal,NA,Normal,Female,12.734,NA,0,Female,0.1,0.01,120,3.417043301,2016,8,12,Aug,0.653333333,Group1,1,8241.675861,2941.245484,1749.494213,1986.013595,56.32051136,5724.00428,4,4
652,TuMe1831,captured;UF trap line,8/12/2016,JD4,360,NA,552318,2806240,Live,23.1,66.6,0.37,Dead,Male,NA,NA,8/12/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,370,3.001689627,2016,8,12,Aug,NA,Group3,1,7480.559137,1351.695602,124.5311206,382.5388869,1710.160811,4780.280013,12,15
1333,TuMe1834,captured;UF trap line,8/16/2016,TH3,321,NA,553415,2806531,Live,29.7,81.5,0.85,Dead,Female,NA,NA,8/16/2016,Disposed at South Dade Landfill,28.7,81.5,0.845,23.058,NA,Normal,NA,Normal,Female,50.676,NA,0,Female,1,0.005,850,3.244513442,2016,8,16,Aug,2.712705882,Group4,1,8031.145933,2417,1226.566753,1460.825109,580.5170109,5442.975749,4,4
653,TuMe1835,captured;UF trap line,8/16/2016,PTH1,356,NA,551997,2806468,Live,17.6,50.8,0.152,Dead,Male,NA,NA,8/16/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,152,2.788082269,2016,8,16,Aug,NA,Group2,1,7655.018877,1000.984515,270.0462923,94.70480452,1999.426168,4928.013799,4,4
1334,TuMe1837,captured;UF trap line,8/17/2016,TH3,321,NA,553415,2806531,Live,12.8,35.5,0.065,Dead,Unknown,NA,Hatchling,8/17/2016,Disposed at South Dade Landfill,12.4,35.5,0.06,0.126,NA,Normal,NA,Normal,Male,8.808,NA,0,Male,0.4,0.005,65,3.099441528,2016,8,17,Aug,0.193846154,Group1,1,8031.145933,2417,1226.566753,1460.825109,580.5170109,5442.975749,4,4
654,TuMe1838,captured;UF trap line,8/17/2016,THE,424,THE,552677,2806546,Live,25.1,71.1,0.62,Dead,Female,NA,NA,8/17/2016,NA,26.7,72.3,0.59,13.393,NA,Normal,NA,Normal,Female,42.353,NA,0,Female,1.6,0.03,620,3.920762404,2016,8,17,Aug,2.16016129,Group3,1,7852.12952,1679.067003,526.901319,734.0170298,1316.577761,5177.913479,5,5
655,TuMe1841,captured;UF trap line,8/17/2016,THJ,429,NA,551421,2806534,Live,22,63.2,0.39,Dead,Male,NA,NA,8/17/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,390,3.662659654,2016,8,17,Aug,NA,Group2,1,7664.636325,423.0106382,822.4019698,562.4917777,2572.505588,4914.867648,4,4
94,TuMe1842,captured;UF trap line,8/17/2016,TH24,315,NA,551027,2804019,Live,14,38.5,0.1,Dead,Unknown,NA,NA,8/17/2016,NA,13.8,38.9,0.082,0.686,NA,Normal,NA,Normal,Female,5.887,NA,0,Female,0.2,0.018,100,3.644314869,2016,8,17,Aug,0.686,Group1,1,5136.386376,2512.167391,2571.298894,2539.398748,3921.927077,2385.030188,5,5
656,TuMe1844,captured;UF trap line,8/19/2016,JD4,360,"Dual capture, TuMe1834 in same trap.",552318,2806240,Live,19.8,52.2,0.25,Dead,Male,NA,Tail regneration starts at 46.6 cm,8/19/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,250,3.220656725,2016,8,19,Aug,NA,Group2,1,7480.559137,1351.695602,124.5311206,382.5388869,1710.160811,4780.280013,12,15
250,TuMe1845,captured;UF trap line,8/23/2016,THK,430,"THK, Hatchling",551126,2806524,Live,23.9,49.9,0.45,Dead,Male,NA,"Hatchling
Tail Regen - 16.0",8/23/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,450,3.296239891,2016,8,23,Aug,NA,Group3,1,7642.717122,128.1912634,1106.498983,848.3112636,2867.648863,4890.773865,4,4
1335,TuMe1846,captured;UF trap line,8/23/2016,L1,408,L1,553941,2806568,Live,25,60.2,0.45,Dead,Male,NA,Tail Regen- 19.9,8/23/2016,Disposed at South Dade Landfill,24.8,60.6,0.435,11.863,"Ventral thoracic cavity has already been cut open prior to necropsy, exposing heart. Pictures taken # 1161, 1162, 1164-1166. Tail regen = 19.7 cm",Normal,NA,Normal,Male,29.85,NA,0,Male,0.2,0.015,450,2.88,2016,8,23,Aug,2.636222222,Group3,1,8241.465525,2943.232577,1751.318646,1987.909706,54.70831747,5724.155833,4,4
1336,TuMe1847,captured;UF trap line,8/23/2016,L2,409,L2 hatchling,553940,2806565,Live,14.7,29.7,0.1,Dead,Unknown,NA,"hatchling, Tail Regen= 9.5",8/23/2016,Disposed at South Dade Landfill,15,29.9,0.1,2.656,Tail regen = 9.2 cm,Normal,NA,Normal,Male,7.28,NA,0,Male,0.3,0,100,3.148096205,2016,8,23,Aug,2.656,Group1,1,8238.306865,2942.196458,1749.876853,1986.632578,56.64803615,5721.063013,4,4
1337,TuMe1848,captured;UF trap line,8/23/2016,THA,420,THA,553857,2806565,Live,15,43.6,0.125,Dead,Male,NA,NA,8/23/2016,Disposed at South Dade Landfill,15.2,44.3,0.12,1.437,"Thoracic cavity cut open prior to necropsy, exposing heart - pictures taken # 1184-1185",Normal,NA,Normal,Male,7.006,NA,0,Male,0.2,0.005,125,3.703703704,2016,8,23,Aug,1.1496,Group1,1,8208.688872,2859.202161,1667.866302,1904.008929,137.4627222,5679.426468,4,4
1338,TuMe1849,captured;UF trap line,8/24/2016,L1,408,L1,553941,2806568,Live,25.5,73.2,0.43,Dead,Male,NA,NA,8/24/2016,Disposed at South Dade Landfill,24,72,0.425,5.104,"Thoracic cavity cut open prior to necropsy, exposing heart. Pictures taken # 1213-1214",Normal,NA,Normal,Male,11.994,NA,0,Male,1.5,0.005,430,2.593271065,2016,8,24,Aug,1.186976744,Group3,1,8241.465525,2943.232577,1751.318646,1987.909706,54.70831747,5724.155833,4,4
657,TuMe1850,captured;UF trap line,8/24/2016,JD4,360,JD4,552318,2806240,Live,19,54.6,0.23,Dead,Female,NA,NA,8/24/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,230,3.353258492,2016,8,24,Aug,NA,Group2,1,7480.559137,1351.695602,124.5311206,382.5388869,1710.160811,4780.280013,12,15
251,TuMe1851,captured;UF trap line,8/24/2016,TH43,369,TH43,551008,2806665,Live,13,38,0.08,Dead,Unknown,NA,Hatchling,8/24/2016,NA,13.1,38.6,0.075,0.306,NA,Normal,NA,Normal,Female,4.059,Very small hatchling,0,Female,0.1,0.005,80,3.641329085,2016,8,24,Aug,0.3825,Group1,1,7782.124389,134.3726163,1255.616582,995.6610869,2986.071834,5031.095507,5,5
658,TuMe1852,captured;UF trap line,8/25/2016,THJ,429,Hatchling,551421,2806534,Live,14.5,39.4,0.08,Dead,Unknown,NA,NA,8/25/2016,Disposed at South Dade Landfill,13.5,39.4,0.08,2.905,NA,Normal,NA,Normal,Male,2.22,NA,0,Male,1,0,80,2.624133831,2016,8,25,Aug,3.63125,Group1,1,7664.636325,423.0106382,822.4019698,562.4917777,2572.505588,4914.867648,4,4
659,TuMe1853,captured;UF trap line,8/26/2016,TH6,327,NA,552615,2806531,Live,16.4,46,0.14,Dead,Male,NA,NA,8/26/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,140,3.173923768,2016,8,26,Aug,NA,Group1,1,7824.174397,1617,465.2590676,670.2313034,1379.057649,5144.354673,4,4
660,TuMe1854,captured;UF trap line,8/26/2016,TH8,329,NA,552063,2806545,Live,21.7,62.2,0.32,Dead,Female,NA,NA,8/26/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,320,3.131632394,2016,8,26,Aug,NA,Group2,1,7740.416332,1065.092015,284.0035211,193.4580058,1930.414463,5016.622071,4,4
661,TuMe1856,captured;UF trap line,8/30/2016,TH7,328,NA,552335,2806544,Live,14.6,41.5,0.09,Dead,Unknown,NA,"Hatchling, Blue nose scales",8/30/2016,Disposed at South Dade Landfill,14.6,41.7,0.083,0.214,NA,Normal,NA,Normal,Female,5.445,NA,0,Female,0,0.007,90,2.891904467,2016,8,30,Aug,0.237777778,Group1,1,7782.709168,1337.0632,272.3765776,407.4616546,1658.506859,5078.160691,4,4
662,TuMe1857,captured;UF trap line,9/1/2016,THC,422,NA,553260,2806559,Live,17.5,49.1,0.17,Dead,Female,NA,NA,9/1/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,170,3.172011662,2016,9,1,Sep,NA,Group2,1,8012.027958,2262.173291,1080.99445,1310.28432,733.4609737,5402.635098,5,5
663,TuMe1860,captured;UF trap line,9/2/2016,PTH2,357,NA,551990,2806299,Live,20.4,60,0.24,Dead,Female,NA,NA,9/2/2016,"Shipped to Jan Hoover at the US Army Engineer Research and Development center (Vicksburg, MS)",20,59.5,0.24,1.213,Tail severed post mortem in freezer. Tail end = 15.8 cm ventral and dorsal.,Normal,NA,Normal,Female,7.827,NA,0,Female,0.4,0,240,2.826967004,2016,9,2,Sep,0.505416667,Group2,1,7486.636895,1018.767883,220.0204536,85.70297544,2023.315349,4760.948015,4,4
664,TuMe1863,captured;UF trap line,9/7/2016,TH10,300,NA,551649,2806539,Live,17,47.4,0.12,Dead,Female,NA,Hatchling,9/7/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,120,2.442499491,2016,9,7,Sep,NA,Group2,1,7686.583181,651.0491533,609.0073891,351.0697936,2344.451322,4942.785146,4,4
95,TuMe1864,captured;UF trap line,9/7/2016,TH23,314,NA,551026,2804466,Live,12.3,35.6,0.06,Dead,Unknown,NA,Hatchling,9/7/2016,Disposed at South Dade Landfill,12.1,35.3,0.06,1.197,Tail was partially separated at start of necropsy,Normal,NA,Normal,Male,2.64,NA,0,Male,0.2,0,60,3.22430351,2016,9,7,Sep,1.995,Group1,1,5583.344249,2065.189822,2184.662903,2130.608364,3645.990949,2832.029837,5,5
1339,TuMe1865,captured;UF trap line,9/8/2016,L2,409,NA,553940,2806565,Live,14,40,0.07,Dead,Unknown,NA,Hatchling,9/8/2016,Disposed at South Dade Landfill,14.1,40.1,0.07,0.197,NA,Normal,NA,Normal,Female,3.862,NA,0,Female,0.1,0,70,2.551020408,2016,9,8,Sep,0.281428571,Group1,1,8238.306865,2942.196458,1749.876853,1986.632578,56.64803615,5721.063013,4,4
1340,TuMe1866,captured;UF trap line,9/8/2016,L4,411,NA,553939,2806575,Live,17.7,50.9,0.15,Dead,Male,NA,Juvenile,9/8/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,150,2.705026101,2016,9,8,Sep,NA,Group2,1,8247.271609,2941.329121,1750.41995,1986.593567,54.91812087,5729.178039,4,4
