OID_,UF_Animal_ID,Status,Capture_Date,Capture_Location,Trap_Name,Capture_Notes,UTM_Easting,UTM_Northing,Specimen_Condition,Intake_SVL,Intake_TL,Intake_Weight_kg,Measurements,Intake_Sex,Age_Class,General_Notes,Euth_Date,Final_Disposition,Nec_SVL,Nec_TL,Nec_Weight_kg,fat_g,Malformations,Extremities,Extremities_Notes,Reproductive_Sys,Nec_Sex,GI_Wt,Additional_Notes,Date_Diff,Analysis_Sex,SVL_Diff,Weight_Diff,mass_g,fulton,year,month_numb,day,month,percfat,sizeclass,NEAR_FID,C110111_DIST,C110424_DIST,JDC_DIST,Pond_DIST,UP_DIST,WCS_DIST,Hab1,Hab2
175,TuMe1029,UF trap line,5/26/2015,HH12,136,NA,551007,2805967,Live,23.7,67,0.39,Dead,Male,NA,NA,5/26/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,390,2.929675836,2015,5,26,May,NA,Group3,1,7084.130504,564.0718039,1248.772998,1040.477775,3049.281883,4333.118161,4,4
176,TuMe1030,UF trap line,5/26/2015,HH22,147,NA,551005,2805006,Live,27.3,73.1,0.6,NA,Male,NA,NA,5/26/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,600,2.948922162,2015,5,26,May,NA,Group4,1,6123.137268,1525.016065,1769.644315,1674.43274,3379.553965,3372.171407,5,6
1198,TuMe1031,UF trap line,5/27/2015,HH1,133,NA,553958,2806544,Live,28.6,78.4,0.64,Dead,Female,NA,NA,5/28/2015,NA,28.7,77.7,0.66,3.131,NA,Normal,NA,Normal,Female,19.138,NA,1,Female,0.1,0.02,640,2.735784437,2015,5,27,May,0.48921875,Group4,1,8225.263339,2960.028547,1764.672208,2002.726142,53.90732789,5712.150296,4,4
1199,TuMe1032,UF trap line,5/27/2015,HH2,144,NA,553772,2806568,Live,26.6,73.4,0.575,Dead,Female,NA,NA,5/28/2015,NA,26.5,72.5,0.58,10.751,NA,Normal,NA,Normal,Male,33.051,NA,1,Male,0.1,0.005,575,3.055082446,2015,5,27,May,1.86973913,Group3,1,8181.936751,2774.246745,1584.487299,1819.737344,221.6528818,5640.358588,4,4
447,TuMe1033,UF trap line,5/27/2015,HH6,155,NA,552577,2806532,Live,25.9,70.7,0.48,Dead,Female,NA,NA,5/28/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Female,NA,NA,480,2.762752275,2015,5,27,May,NA,Group3,1,7817.222653,1579.000317,433.115458,633.5053275,1416.991531,5133.794698,4,4
448,TuMe1034,UF trap line,5/27/2015,P1,163,NA,552001,2806452,Live,24.6,70.7,0.475,Dead,Female,NA,NA,5/28/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Female,NA,NA,475,3.190717015,2015,5,27,May,NA,Group3,1,7639.707455,1006.106356,257.2566812,81.88406438,1996.435073,4913.101668,4,4
449,TuMe1035,UF trap line,5/27/2015,HH9,158,NA,551570,2806529,Live,20.7,60.2,0.26,Dead,Female,NA,NA,5/28/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Female,NA,NA,260,2.931313793,2015,5,27,May,NA,Group2,1,7669.977314,572.0034965,679.0647981,419.3626116,2423.647045,4923.716686,4,4
1795,TuMe1036,UF trap line,5/27/2015,HH51,154,NA,550973,2806831,Live,22.7,63.1,0.34,Dead,Female,NA,NA,5/28/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Female,NA,NA,340,2.906707595,2015,5,27,May,NA,Group3,1,7948.005096,301.0398645,1345.366121,1086.978381,3030.00264,5197.419071,5,6
177,TuMe1037,UF trap line,5/27/2015,HH11,135,NA,551007,2806486,Live,24.9,68,0.42,Dead,Male,NA,NA,5/28/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Male,NA,NA,420,2.720515779,2015,5,27,May,NA,Group3,1,7603.121596,45.89117562,1216.99014,960.8647147,2987.640708,4852.105522,4,4
1200,TuMe1041,UF trap line,5/29/2015,Trap2,35,NA,553935,2806576,Live,24.8,71,0.5,Dead,Male,NA,NA,5/29/2015,NA,25.4,70.7,0.52,5.798,NA,Normal,Front feet pads are dark in color,Normal,Male,23.53,NA,0,Male,0.6,0.02,500,3.278045383,2015,5,29,May,1.1596,Group3,1,8246.762395,2937.344719,1746.625604,1982.711527,58.69412236,5728.017109,4,4
1796,TuMe1042,UF trap line,5/29/2015,HF50,153,NA,550967,2807165,Live,24.7,58.2,0.435,Dead,Female,NA,Tail regen 14.1 cm,5/29/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,435,2.886678364,2015,5,29,May,NA,Group3,1,8282.000543,634.757434,1513.214459,1267.379186,3081.083576,5531.468612,4,4
178,TuMe1043,UF trap line,5/29/2015,HH12,136,NA,551007,2805967,Live,23.1,61.1,0.315,Dead,Male,NA,NA,5/29/2015,NA,22.2,61.9,0.32,0.318,NA,Normal,Shedding on the inner limb regions and base to mid sections of tail.  Drag marks on ventral side of tail,Normal,Male,29.523,NA,0,Male,0.9,0.005,315,2.55549252,2015,5,29,May,0.100952381,Group3,1,7084.130504,564.0718039,1248.772998,1040.477775,3049.281883,4333.118161,4,4
37,TuMe1044,UF trap line,5/29/2015,HH19,143,NA,551025,2801950,Live,24,65.7,0.39,Dead,Female,NA,NA,5/29/2015,NA,24.1,66.1,0.4,1.549,NA,Normal,NA,Normal,Female,32.019,NA,0,Female,0.1,0.01,390,2.821180556,2015,5,29,May,0.397179487,Group3,1,3067.606559,4581.079567,4510.446652,4528.009386,5503.839478,316.3099745,5,6
179,TuMe1045,UF trap line,5/29/2015,HF22,131,NA,551000,2805766,Live,24.2,64.2,0.395,Dead,Female,NA,NA,5/29/2015,NA,23.3,64.1,0.39,0.796,NA,Normal,NA,Normal,Female,40.673,NA,0,Female,0.9,0.005,395,2.78709003,2015,5,29,May,0.201518987,Group3,1,6883.094144,765.0026144,1323.403189,1141.244934,3103.032388,4132.184047,5,6
1779,TuMe1046,transferred,5/28/2015,S110,214,NA,547763,2808189,Live,30,69,0.954,Alive,Female,NA,NA,5/31/2015,Sent to Sterling Nesbitt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Female,NA,NA,954,3.533333333,2015,5,28,May,NA,Group4,1,9841.140025,3635.132597,4830.794759,4572.098205,6433.17309,7328.042099,4,4
450,TuMe1055,UF trap line,6/2/2015,HH7,156,NA,552313,2806546,Live,27.7,69.1,0.68,Dead,Male,NA,NA,6/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,680,3.199407846,2015,6,2,Jun,NA,Group4,1,7780.833503,1315.085549,264.8490136,388.2743875,1680.452618,5074.526579,4,4
451,TuMe1057,UF trap line,6/2/2015,P1,163,NA,552001,2806452,Live,31.2,84.8,0.94,Dead,Female,NA,NA,6/2/2015,NA,29.6,82,0.94,25.04,NA,Normal,NA,Normal,Female,76.807,NA,0,Female,1.6,0,940,3.09502436,2015,6,2,Jun,2.663829787,Group4,1,7639.707455,1006.106356,257.2566812,81.88406438,1996.435073,4913.101668,4,4
1797,TuMe1058,UF trap line,6/2/2015,HH51,154,NA,550970,2806999,Live,23.3,64.5,0.34,Dead,Female,NA,NA,6/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,340,2.687887911,2015,6,2,Jun,NA,Group3,1,8116.002218,468.8368586,1422.465817,1169.283969,3051.21697,5365.443691,5,6
180,TuMe1059,UF trap line,6/2/2015,HH11,135,NA,551007,2806486,Live,24.2,66.2,0.38,Dead,Male,NA,NA,6/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,380,2.681251168,2015,6,2,Jun,NA,Group3,1,7603.121596,45.89117562,1216.99014,960.8647147,2987.640708,4852.105522,4,4
1975,TuMe1060,UF trap line,6/2/2015,Trap2,35,NA,553935,2806976,Live,29.1,80.1,0.76,Dead,Male,NA,NA,6/2/2015,NA,29.4,79.6,0.77,2.962,NA,Normal,NA,Normal,Male,36.544,NA,0,Male,0.3,0.01,760,3.084143844,2015,6,2,Jun,0.389736842,Group4,1,8621.107237,2970.52083,1851.99919,2061.054342,395.2783829,6076.494055,5,5
452,TuMe1061,UF trap line,6/3/2015,PVC 8,194,NA,551848,2806541,Live,31.1,82.4,0.84,Dead,Male,NA,NA,6/3/2015,NA,29.6,82.1,0.83,1.06,NA,Normal,NA,Normal,Male,56.162,NA,0,Male,1.5,0.01,840,2.792531746,2015,6,3,Jun,0.126190476,Group4,1,7708.853352,850.0588215,433.7798981,197.2739212,2145.451235,4973.241398,4,4
1201,TuMe1062,UF trap line,6/4/2015,HH1,133,NA,553958,2806544,Live,22.7,63,0.325,Dead,Female,NA,NA,6/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,325,2.778470496,2015,6,4,Jun,NA,Group3,1,8225.263339,2960.028547,1764.672208,2002.726142,53.90732789,5712.150296,4,4
1202,TuMe1063,UF trap line,6/4/2015,Trap1,34,NA,553953,2806578,Live,25.2,68.1,0.465,Dead,Male,NA,NA,6/4/2015,NA,25.1,67,0.45,1.443,NA,Normal,NA,Normal,Male,19.16,NA,0,Male,0.1,0.015,465,2.905703728,2015,6,4,Jun,0.310322581,Group3,1,8255.128467,2955.37375,1764.716691,2000.821081,40.60788101,5738.86156,4,4
181,TuMe1064,UF trap line,6/4/2015,HH11,135,NA,551007,2806486,Live,25.8,70.4,0.43,Dead,Male,NA,NA,6/4/2015,NA,24.1,68.5,0.45,1.232,NA,Normal,NA,Normal,Male,41.03,NA,0,Male,1.7,0.02,430,2.503855938,2015,6,4,Jun,0.286511628,Group3,1,7603.121596,45.89117562,1216.99014,960.8647147,2987.640708,4852.105522,4,4
2036,TuMe1071,transferred,6/5/2015,"Golfcoast 34884 SW 188th Place, Homestead, FL",NA,Caught by resident/home owner,550696,2814294,Live,28.5,77.1,0.85,Dead,Female,NA,Sex updated from unknown to Female by L. Garner on 14-Sept-2015,6/8/2015,Sent to Sterling Nesbitt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Female,NA,NA,850,3.671845048,2015,6,5,Jun,NA,Group4,1,15413.33011,7768.872055,8134.141626,8014.621139,8384.443333,12664.64563,12,19
1203,TuMe1072,UF trap line,6/9/2015,Trap1,34,NA,553953,2806578,Live,22.9,64.2,0.36,Dead,Male,NA,NA,6/9/2015,NA,22.1,62,0.365,6.144,NA,Normal,NA,Normal,Male,17.088,NA,0,Male,0.8,0.005,360,2.997754432,2015,6,9,Jun,1.706666667,Group3,1,8255.128467,2955.37375,1764.716691,2000.821081,40.60788101,5738.86156,4,4
1204,TuMe1073,UF trap line,6/9/2015,HH2,144,NA,553772,2806568,Live,25.9,72.6,0.46,Dead,Female,NA,NA,6/9/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,460,2.647637596,2015,6,9,Jun,NA,Group3,1,8181.936751,2774.246745,1584.487299,1819.737344,221.6528818,5640.358588,4,4
453,TuMe1075,UF trap line,6/9/2015,P2,164,NA,551992,2806291,Live,26.5,71.1,0.52,Dead,Male,NA,NA,6/9/2015,NA,24.9,69.3,0.51,0.5863,NA,Normal,NA,Abnormal,Male,44.137,NA,0,Male,1.6,0.01,520,2.794252974,2015,6,9,Jun,0.11275,Group3,1,7478.987097,1022.563445,218.2773465,93.92017888,2022.48288,4753.510072,4,4
454,TuMe1076,UF trap line,6/9/2015,B2,124,NA,551806,2806598,Live,24.8,68.3,0.38,Dead,Male,NA,NA,6/9/2015,NA,24.3,67.8,0.38,0.386,NA,Normal,NA,Normal,Male,20.75,NA,0,Male,0.5,0,380,2.491314491,2015,6,9,Jun,0.101578947,Group3,1,7760.811105,810.7730879,500.8313089,268.0671558,2187.038637,5022.906031,4,4
1798,TuMe1078,UF trap line,6/9/2015,HH51,154,NA,550970,2806999,Live,22.1,61.6,0.26,Dead,Male,NA,NA,6/9/2015,NA,22.5,59.8,0.24,0.575,NA,Normal,NA,Normal,Male,23.355,NA,0,Male,0.4,0.02,260,2.408776618,2015,6,9,Jun,0.221153846,Group2,1,8116.002218,468.8368586,1422.465817,1169.283969,3051.21697,5365.443691,5,6
182,TuMe1079,UF trap line,6/9/2015,HH12,136,NA,551007,2805967,Live,20.2,57.3,0.22,Dead,Male,NA,NA,6/9/2015,NA,20.8,57.7,0.24,0.267,NA,Normal,NA,Abnormal,Male,22.898,NA,0,Male,0.6,0.02,220,2.669122907,2015,6,9,Jun,0.121363636,Group2,1,7084.130504,564.0718039,1248.772998,1040.477775,3049.281883,4333.118161,4,4
183,TuMe1080,UF trap line,6/9/2015,HH13,137,NA,551017,2805509,Live,26.5,72,0.44,Dead,Male,NA,NA,6/9/2015,NA,25.5,70.6,0.46,0.31,NA,Normal,NA,Normal,Male,31.987,Skin: Abnormal coloring/pattern,0,Male,1,0.02,440,2.364367901,2015,6,9,Jun,0.070454545,Group3,1,6626.211965,1022.176599,1432.514572,1285.171584,3164.546097,3875.062451,5,5
184,TuMe1081,UF trap line,6/9/2015,HH23,148,NA,550993,2806365,Live,21.6,60.2,0.22,Dead,Female,NA,NA,6/9/2015,NA,20.8,57.7,0.22,0.31,NA,Normal,NA,Normal,Female,17.642,NA,0,Female,0.8,0,220,2.183038663,2015,6,9,Jun,0.140909091,Group2,1,7482.056201,166.0752841,1218.629558,969.1160921,3008.055851,4731.223626,5,6
455,TuMe1082,UF trap line,6/10/2015,HH5,151,NA,552797,2806551,Live,24.2,67.3,0.38,Dead,Male,NA,NA,6/10/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,380,2.681251168,2015,6,10,Jun,NA,Group3,1,7884.041667,1799.111169,637.6284184,852.3297484,1196.48318,5221.824681,5,5
456,TuMe1083,UF trap line,6/10/2015,JD4,162,NA,552318,2806240,Live,23.7,66.8,0.4,Dead,Male,NA,NA,6/10/2015,NA,23.7,66.4,0.4,1.69,NA,Normal,NA,Normal,Male,23.6,NA,0,Male,0,0,400,3.004795729,2015,6,10,Jun,0.4225,Group3,1,7480.559137,1351.695602,124.5311206,382.5388869,1710.160811,4780.280013,12,15
457,TuMe1084,UF trap line,6/10/2015,HH8,157,NA,551862,2806546,Live,28.1,70.3,0.7,Dead,Male,NA,NA,6/10/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,NA,NA,700,3.154852652,2015,6,10,Jun,NA,Group4,1,7715.437317,864.1301985,425.0176467,193.7937047,2131.356845,4980.469155,4,4
1799,TuMe1085,UF trap line,6/10/2015,HH50,152,NA,550969,2807325,Live,26.8,75.4,0.56,Dead,Female,NA,NA,6/10/2015,NA,26.3,74.4,0.54,1.884,NA,Normal,NA,Normal,Female,34.418,Pentax 177-0443 to 0444 of pancreas,0,Female,0.5,0.02,560,2.90926743,2015,6,10,Jun,0.336428571,Group4,1,8442.001481,794.5294205,1608.294127,1370.793201,3113.22598,5691.430488,4,4
458,TuMe1086,UF trap line,6/11/2015,HH6,155,NA,552577,2806532,Live,27.5,72.6,0.54,Dead,Female,NA,NA,6/11/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,540,2.596543952,2015,6,11,Jun,NA,Group4,1,7817.222653,1579.000317,433.115458,633.5053275,1416.991531,5133.794698,4,4
459,TuMe1087,UF trap line,6/11/2015,HH7,156,NA,552313,2806546,Live,31.2,81.8,0.88,Dead,Female,NA,NA,6/11/2015,NA,30.2,80.8,0.885,11.932,NA,Normal,NA,Normal,Female,43.018,NA,0,Female,1,0.005,880,2.897469613,2015,6,11,Jun,1.355909091,Group4,1,7780.833503,1315.085549,264.8490136,388.2743875,1680.452618,5074.526579,4,4
460,TuMe1089,UF trap line,6/11/2015,P1,163,NA,552001,2806452,Live,28.5,78.4,0.66,Dead,Female,NA,NA,6/11/2015,NA,27,69.3,0.655,1.7,NA,Abnormal,"Missing right rear foot, left leg taken instead as a result",Normal,Female,36.607,NA,0,Female,1.5,0.005,660,2.851079684,2015,6,11,Jun,0.257575758,Group4,1,7639.707455,1006.106356,257.2566812,81.88406438,1996.435073,4913.101668,4,4
